observationDate,observationAbout,variableMeasured,value,unit,measurementMethod,observationPeriod
2007,wikidataId/Q1061,dcid:NDAP_MilkProduction_Statewise,7911000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2008,wikidataId/Q1061,dcid:NDAP_MilkProduction_Statewise,8386000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2009,wikidataId/Q1061,dcid:NDAP_MilkProduction_Statewise,8844000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2010,wikidataId/Q1061,dcid:NDAP_MilkProduction_Statewise,9321000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2011,wikidataId/Q1061,dcid:NDAP_MilkProduction_Statewise,9817000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2012,wikidataId/Q1061,dcid:NDAP_MilkProduction_Statewise,10315000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2013,wikidataId/Q1061,dcid:NDAP_MilkProduction_Statewise,11112000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2014,wikidataId/Q1061,dcid:NDAP_MilkProduction_Statewise,11691000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2015,wikidataId/Q1061,dcid:NDAP_MilkProduction_Statewise,12262000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2016,wikidataId/Q1061,dcid:NDAP_MilkProduction_Statewise,12784000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2017,wikidataId/Q1061,dcid:NDAP_MilkProduction_Statewise,13569000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2018,wikidataId/Q1061,dcid:NDAP_MilkProduction_Statewise,14493000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
