observationAbout,observationDate,variableMeasured,value,#input
country/EST,1938,dcid:Count_Person_50To54Years,65325,estonia_population.csv:489:3
country/EST,1938,dcid:Count_Person_55To59Years,57382,estonia_population.csv:490:3
country/EST,1938,dcid:Count_Person_60To64Years,52856,estonia_population.csv:491:3
country/EST,1938,dcid:Count_Person_65To69Years,40528,estonia_population.csv:492:3
country/EST,1938,dcid:Count_Person_70To74Years,32892,estonia_population.csv:493:3
country/EST,1938,dcid:Count_Person_75To79Years,21426,estonia_population.csv:494:3
country/EST,1938,dcid:Count_Person_80To84Years,9542,estonia_population.csv:495:3
country/EST,1938,dcid:Count_Person_85OrMoreYears,3866,estonia_population.csv:500:3
country/EST,1938,dcid:Count_Person_AgeNotStated,0,estonia_population.csv:501:3
country/EST,1939,dcid:Count_Person,1133917,estonia_population.csv:502:3
country/EST,1939,dcid:Count_Person_0Years,18494,estonia_population.csv:503:3
country/EST,1939,dcid:Count_Person_1To4Years,64461,estonia_population.csv:504:3
country/EST,1939,dcid:Count_Person_5To9Years,82879,estonia_population.csv:505:3
country/EST,1939,dcid:Count_Person_10To14Years,87566,estonia_population.csv:506:3
country/EST,1939,dcid:Count_Person_15To19Years,85690,estonia_population.csv:507:3
country/EST,1939,dcid:Count_Person_20To24Years,73594,estonia_population.csv:508:3
country/EST,1939,dcid:Count_Person_25To29Years,99716,estonia_population.csv:509:3
